day,placed_jobs,cpu,bad_inst
22,4395,171.59034919738764,20
23,10260,527.0624570846556,60
24,12292,429.8405275344847,39
25,12974,407.9729261398314,38
26,12521,435.7394695281981,63
27,11406,528.6401357650756,71
28,10576,529.8562078475951,100
29,10113,481.0390272140501,94
30,5577,279.25991153717035,104
