day,placed_jobs,cpu,bad_inst
22,4856,241.45097541809074,29.0
23,10473,514.65625667572,96.0
24,12135,465.96127796173073,68.0
25,13183,416.9757337570188,57.0
26,12880,421.7734680175779,91.0
27,11423,476.10797405242903,113.0
28,10972,529.6364469528196,132.0
29,10851,476.2153186798094,118.0
30,5917,213.72229385375965,114.0
